store_name,category,new_open,rating,visited_review,blog_review,store_id,address,business_hours,phone_num,lat_lng
니아이 커피 위례,"카페,디저트",없음,0.0,"1,005",238,1681457904,서울 송파구 위례광장로 136 위례아이파크 상가 5동 1층 E-112호,"화
09:00 - 21:00
20:30 라스트오더 /수
09:00 - 21:00
20:30 라스트오더 /목
09:00 - 21:00
20:30 라스트오더 /금
09:00 - 21:00
20:30 라스트오더 /토
10:00 - 21:00
20:30 라스트오더 /일
10:00 - 21:00
20:30 라스트오더 /월
09:00 - 21:00
20:30 라스트오더 /",0507-1360-8564,"{'x': 37.4760088, 'y': 127.1417158}"
스시메이커 성남위례중앙광장본점,"초밥,롤",없음,0.0,446,138,1093567546,경기 성남시 수정구 위례광장로 104 상가 2층 2246호 스시메이커,"화
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더 /수
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더 /목
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더 /금
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더 /토
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더 /일
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더 /월
정기휴무 (매주 월요일) /",0507-1343-2978,"{'x': 37.4727099, 'y': 127.1415588}"
중국미식성,중식당,없음,4.41,357,62,592804870,서울 송파구 위례광장로 200 에스비트램스퀘어 2층 202호,"매일
11:00 - 23:00 /",0507-1409-1864,"{'x': 37.48120725, 'y': 127.14296644999999}"
노포식당,"곱창,막창,양",없음,4.24,954,327,1657292596,서울 송파구 위례광장로 120 1층 101호,"매일
11:30 - 22:30
15:30 - 16:30 브레이크타임
22:00 라스트오더 /",02-408-8555,"{'x': 37.4750397, 'y': 127.14116}"
레이지수잔,"카페,디저트",없음,4.67,144,79,1141906306,경기 성남시 수정구 위례광장로 104 2층 2229호 레이지수잔,"화
10:00 - 19:00 /수
10:00 - 19:00 /목
10:00 - 19:00 /금
10:00 - 19:00 /토
11:00 - 21:00 /일
11:00 - 21:00 /월
정기휴무 (매주 월요일) /",0507-1361-6396,"{'x': 37.4727099, 'y': 127.1415588}"
어나더테이블,베이커리,없음,0.0,179,25,1023047389,서울 송파구 위례광장로 230 2층 A-205호,"화
정기휴무 (매주 화요일) /수
09:00 - 16:00
15:00 라스트오더 /목
09:00 - 16:00
15:00 라스트오더 /금
09:00 - 16:00
15:00 라스트오더 /토
09:00 - 16:00
15:00 라스트오더 /일
정기휴무 (매주 일요일) /월
정기휴무 (매주 월요일) /",0507-1351-0405,"{'x': 37.4783867, 'y': 127.1434008}"
풍미 위례,중식당,없음,0.0,705,131,1859738585,서울 송파구 위례광장로 120 중앙푸르지오 1단지 상가동 126호,"화
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /수
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /목
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /금
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /토
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /일
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더 /월
정기휴무 (매주 월요일) /",02-431-6464,"{'x': 37.4750397, 'y': 127.14116}"
비밀베이커리 위례중앙타워점,베이커리,없음,0.0,112,24,1187805364,경기 성남시 수정구 위례광장로 300 114호,"화
08:00 - 21:00 /수
08:00 - 21:00 /목
08:00 - 21:00 /금
08:00 - 21:00 /토
08:00 - 21:00 /일
08:00 - 21:00 /월
08:00 - 21:00 /",0507-1489-1589,"{'x': 37.473447300000004, 'y': 127.1427856187999}"
코코이찌방야 위례점,카레,없음,4.47,274,21,38673313,서울 송파구 위례광장로 170 송파위례힐스테이트 A동 122호,"화
11:00 - 20:00
15:00 - 17:00 브레이크타임
19:00 라스트오더 /수
11:00 - 20:00
15:00 - 17:00 브레이크타임
19:00 라스트오더 /목
11:00 - 20:00
15:00 - 17:00 브레이크타임
19:00 라스트오더 /금
11:00 - 20:00
15:00 - 17:00 브레이크타임
19:00 라스트오더 /토
11:00 - 20:00
15:00 - 17:00 브레이크타임
19:00 라스트오더 /일
11:00 - 20:00
15:00 - 17:00 브레이크타임
19:00 라스트오더 /월
정기휴무 (매주 월요일) /",02-449-5566,"{'x': 37.4785738, 'y': 127.142863}"
동대문엽기떡볶이 위례신도시점,분식,없음,4.43,813,57,1621105841,서울 송파구 위례광장로 270,"매일
10:00 - 00:30 /",02-409-8592,"{'x': 37.4762899207198, 'y': 127.14133080600826}"
예감좋은지금이곳횟집 위례점,생선회,없음,4.39,223,198,1103855655,경기 성남시 수정구 위례광장로 310 우성트램상가 B동 2층 202호,"화
16:30 - 24:00
23:00 라스트오더 /수
16:30 - 24:00
23:00 라스트오더 /목
16:30 - 24:00
23:00 라스트오더 /금
16:30 - 24:00
23:00 라스트오더 /토
16:30 - 24:00
23:00 라스트오더 /일
16:30 - 24:00
23:00 라스트오더 /월
정기휴무 (매주 월요일) /",없음,"{'x': 37.472839, 'y': 127.1424342}"
백정집,한식,없음,0.0,738,915,1036277046,"서울 송파구 송파대로 111 202동 1층 155, 156호","화
13:00 - 24:00
23:00 라스트오더 /수
13:00 - 24:00
23:00 라스트오더 /목
13:00 - 24:00
23:00 라스트오더 /금
15:00 - 23:30
22:30 라스트오더 /토
15:00 - 23:30
22:30 라스트오더 /일
15:00 - 23:30
22:30 라스트오더 /월
13:00 - 24:00
23:00 라스트오더 /",0507-1414-8269,"{'x': 37.48047245, 'y': 127.12414328368519}"
르브레드랩 위례점,베이커리,없음,4.1,263,103,1339978985,경기 성남시 수정구 위례광장로 104 1층 1동 1084호,"화
11:00 - 22:00 /수
11:00 - 22:00 /목
11:00 - 22:00 /금
11:00 - 22:00 /토
11:00 - 22:00 /일
11:00 - 22:00 /월
정기휴무 (매주 월요일) /",0507-1410-2263,"{'x': 37.4727099, 'y': 127.1415588}"
나부롱 양과점,"카페,디저트",없음,4.91,313,85,1004257769,서울 송파구 위례광장로 230 상가동 b동 116호,"화
10:00 - 17:30
17:20 라스트오더 /수
10:00 - 17:30
17:20 라스트오더 /목
10:00 - 17:30
17:20 라스트오더 /금
10:00 - 17:30
17:20 라스트오더 /토
10:00 - 17:30
17:20 라스트오더 /일
정기휴무 (매주 일요일) /월
10:30 - 17:30
17:20 라스트오더 /",0507-1471-6232,"{'x': 37.4783867, 'y': 127.1434008}"
